DisplayName,UserPrincipalName,LDAPUserName,PhoneNumber,CleanedPhone
Adele Vance,AdeleV@5kswv1.onmicrosoft.com,,,
Divya Akula,akula.divya_gmail.com#EXT#@5kswv1.onmicrosoft.com,,,
Alex Wilber,AlexW@5kswv1.onmicrosoft.com,,,
Diego Siciliani,DiegoS@5kswv1.onmicrosoft.com,,,
Dinesh Akula,DineshAkula@5kswv1.onmicrosoft.com,,,
Divya Akula,divya.akula_tarento.com#EXT#@5kswv1.onmicrosoft.com,,,
Divya Akula,divya@5kswv1.onmicrosoft.com,,+91 99999999,919999999999
Divya Akula,divyaakula_m365devtoy.onmicrosoft.com#EXT#@5kswv1.onmicrosoft.com,,,
Grady Archie,GradyA@5kswv1.onmicrosoft.com,,,
Hajira  Begum,hajira.begum_tarento.com#EXT#@5kswv1.onmicrosoft.com,,,
Hajira,Hajira@5kswv1.onmicrosoft.com,,,
Henrietta Mueller,HenriettaM@5kswv1.onmicrosoft.com,,,
Isaiah Langer,IsaiahL@5kswv1.onmicrosoft.com,,,
Johanna Lorenz,JohannaL@5kswv1.onmicrosoft.com,,,
Joni Sherman,JoniS@5kswv1.onmicrosoft.com,,,
Lee Gu,LeeG@5kswv1.onmicrosoft.com,,,
Lidia Holloway,LidiaH@5kswv1.onmicrosoft.com,,,
Lynne Robbins,LynneR@5kswv1.onmicrosoft.com,,,
Megan Bowen,MeganB@5kswv1.onmicrosoft.com,,,
Miriam Graham,MiriamG@5kswv1.onmicrosoft.com,,,
Nestor Wilke,NestorW@5kswv1.onmicrosoft.com,,,
Patti Fernandez,PattiF@5kswv1.onmicrosoft.com,,,
User,powerplatform_devtarento.onmicrosoft.com#EXT#@5kswv1.onmicrosoft.com,,,
Pradeep Gupta,PradeepG@5kswv1.onmicrosoft.com,,,
test user,testuer@5kswv1.onmicrosoft.com,,,
