AppName,DisplayName,PrincipalDisplayName,PrincipalEmail,PrincipalType,RoleType,Environment
ecb12-31230123123-0123012-30130f2c1,PowerApps-1,Siddharth Vaghasia,siddharth@yourdomain.onmicrosoft.com,User,CanEdit,default-5b2342342342423423432424234234914b9
ecb12-31230123123-0123012-30130f2c1,PowerApps-1,External User,externaluser@gmail.com,User,CanEdit,default-5bac9eb0-1e6b-463d-8dbb-6ba2477914b9
ecb12-31230123123-0123012-30130f2c1,PowerApps-1,Unknown user,test@test.com,User,CanEdit,default-5bac9eb0-1e6b-463d-8dbb-6ba2477914b9
ecb123-1230123-12301230-123013-0f2c4,PowerApps-1,Unknown user,test@test.com,User,CanEdit,default-5bac9eb0-1e6b-463d-8dbb-6ba2477914b9
ecb12-31230123123-0123012-30130f2c1,PowerApps-2,CLITeamDemo,123213-123213-123123-123123,Group,CanEdit,default-5bac9eb0-1e6b-463d-8dbb-6ba2477914b9
ecb123-1230123-12301230-123013-0f2c4,PowerApps-1,Parth Patel,parth@yourdomain.onmicrosoft.com,User,CanEdit,default-5bac9eb0-1e6b-463d-8dbb-6ba2477914b9
ecb12-31230123123-0123012-30130f2c1,PowerApps-2,Kuldeep Patel,kuldeep@yourdomain.onmicrosoft.com,User,CanView,default-5bac9eb0-1e6b-463d-8dbb-6ba2477914b9
682423422-3423423-4436c-58b,Temp Issue Solving,Kuldeep Patel,kuldeep@yourdomain.onmicrosoft.com,User,CanEdit,default-5bac9eb0-1e6b-463d-8dbb-6ba2477914b9
e9d23423-4242432-34234f-f93b,PenInputDemo,Kuldeep Patel,kuldeep@yourdomain.onmicrosoft.com,User,Remove,default-5bac9eb0-1e6b-463d-8dbb-6ba2477914b9
e9d23423-4242432-34234f-f93b,PenInputDemo,Siddharth Vaghasia,siddharth@yourdomain.onmicrosoft.com,User,CanEdit,default-5bac9eb0-1e6b-463d-8dbb-6ba2477914b9
